,value,err_upper,err_lower,units
TTS_0_0,1743.7183759847871,0.0021943943474980188,-0.0025330204944111756,days
TTS_0_1,1754.0761069450537,0.0014955479966829444,-0.0015790334007306228,days
TTS_0_2,1940.563074083371,0.0016597458086380357,-0.001396616367628667,days
TTS_0_3,1950.8350841476279,0.0016947398787579004,-0.0012933751993386977,days
TTS_0_4,2665.350832706787,0.0027170569906047604,-0.0023118177359719994,days
TTS_0_5,2675.694063530385,0.0015272145028575324,-0.001539432102617866,days
TTS_0_6,2686.050976641841,0.00119527583819945,-0.0011392324886401184,days
PERIOD,10.355096270794974,1.7419604144919276e-05,-1.6624200391390787e-05,days
T0,1743.7440909095722,0.0009634925745558576,-0.001020212983348756,days
ROR,0.03151974182147126,0.0014753359105005581,-0.0006869736101839108,
IMPACT,0.34042214850099684,0.293323513233839,-0.2253008057982943,
DUR14,0.13676645228301895,0.003158207515645134,-0.001964809862432665,days
ECC,0.1936873032868499,0.37071309788409,-0.15010451591945084,
OMEGA,94.39327037018161,134.3642338487032,-142.53774347288345,deg
R_PL,2.750055984081058,0.1459299464542334,-0.11358620615418857,R_earth
